player;team;country;lane;date;kda;kills;deaths;assists;gold;cs;wards;ttldmgchamps
H2K Odoamne;H2K;United Kingdom;TOP;09/02/2017;0,83;2;6;3;15605;323;21;36066
H2K Jankos;H2K;United Kingdom;JUNGLE;09/02/2017;3,67;1;3;10;14108;47;44;13332
H2K Febiven;H2K;United Kingdom;MIDDLE;09/02/2017;5,00;6;2;4;19238;385;29;21931
H2K Nuclear;H2K;United Kingdom;BOTTOM;09/02/2017;6,50;6;2;7;19331;418;18;29469
H2K Chei;H2K;United Kingdom;BOTTOM;09/02/2017;6,00;1;2;11;11594;51;82;7240
H2K Odoamne;H2K;United Kingdom;TOP;11/02/2017;1,00;1;4;3;12213;226;13;7410
H2K Jankos;H2K;United Kingdom;JUNGLE;11/02/2017;11,00;5;1;6;13724;68;14;19599
H2K Febiven;H2K;United Kingdom;MIDDLE;11/02/2017;6,00;6;2;6;14866;253;19;16910
H2K Nuclear;H2K;United Kingdom;BOTTOM;11/02/2017;13,00;4;1;9;14322;277;15;23791
H2K Chei;H2K;United Kingdom;BOTTOM;11/02/2017;2,00;0;4;8;9660;30;53;6722
H2K Odoamne;H2K;United Kingdom;TOP;11/02/2017;4,50;7;4;11;20726;359;26;50862
H2K Jankos;H2K;United Kingdom;JUNGLE;11/02/2017;2,33;4;6;10;16420;60;12;12165
H2K Febiven;H2K;United Kingdom;MIDDLE;11/02/2017;4,25;8;4;9;20196;337;29;36910
H2K Nuclear;H2K;United Kingdom;BOTTOM;11/02/2017;6,00;3;2;9;19948;378;19;20781
H2K Chei;H2K;United Kingdom;BOTTOM;11/02/2017;1,14;1;7;7;12855;62;78;4864
H2K Odoamne;H2K;United Kingdom;TOP;17/02/2017;17,00;2;0;15;14568;295;16;17345
H2K Jankos;H2K;United Kingdom;JUNGLE;17/02/2017;3,50;7;4;7;14402;38;41;13485
H2K Febiven;H2K;United Kingdom;MIDDLE;17/02/2017;2,25;5;4;4;15920;315;21;21082
H2K Nuclear;H2K;United Kingdom;BOTTOM;17/02/2017;8,00;6;2;10;18190;390;13;25913
H2K Chei;H2K;United Kingdom;BOTTOM;17/02/2017;5,00;0;3;15;11008;43;48;6142
H2K Odoamne;H2K;United Kingdom;TOP;17/02/2017;5,00;4;2;6;14725;276;20;16092
H2K Jankos;H2K;United Kingdom;JUNGLE;17/02/2017;6,00;9;3;9;16562;88;13;26946
H2K Febiven;H2K;United Kingdom;MIDDLE;17/02/2017;4,67;6;3;8;15587;287;18;19685
H2K Nuclear;H2K;United Kingdom;BOTTOM;17/02/2017;12,00;5;0;7;14820;294;14;16540
H2K Chei;H2K;United Kingdom;BOTTOM;17/02/2017;5,00;0;3;15;9929;19;46;5915
G2 Expect;G2;Spain;JUNGLE;19/01/2017;7,00;2;0;5;17253;351;21;11730
G2 Trick;G2;Spain;JUNGLE;19/01/2017;4,00;4;2;4;17477;118;35;12635
G2 Perkz;G2;Spain;MIDDLE;19/01/2017;7,00;2;1;5;17529;354;19;20148
G2 Zven;G2;Spain;JUNGLE;19/01/2017;5,00;2;1;3;17307;342;18;14642
G2 mithy;G2;Spain;JUNGLE;19/01/2017;4,50;1;2;8;12916;30;55;18761
G2 Expect;G2;Spain;TOP;19/01/2017;2,50;5;4;5;18320;350;24;17329
G2 Trick;G2;Spain;JUNGLE;19/01/2017;3,25;1;4;12;16847;85;43;11767
G2 Perkz;G2;Spain;MIDDLE;19/01/2017;1,67;7;6;3;20677;438;19;31717
G2 Zven;G2;Spain;BOTTOM;19/01/2017;7,00;5;2;9;21403;399;18;32773
G2 mithy;G2;Spain;BOTTOM;19/01/2017;2,25;0;4;9;14174;68;74;24183
G2 Expect;G2;Spain;TOP;19/01/2017;2,25;4;4;5;18673;329;24;33152
G2 Trick;G2;Spain;JUNGLE;19/01/2017;2,25;3;4;6;15631;34;28;14576
G2 Perkz;G2;Spain;MIDDLE;19/01/2017;1,50;5;6;4;18339;344;20;27258
G2 Zven;G2;Spain;BOTTOM;19/01/2017;9,00;2;1;7;18837;380;19;26360
G2 mithy;G2;Spain;BOTTOM;19/01/2017;1,00;0;5;5;13246;83;71;15991
G2 Expect;G2;Spain;TOP;21/01/2017;8,50;3;2;14;16207;332;22;20892
G2 Trick;G2;Spain;JUNGLE;21/01/2017;7,50;3;2;12;14574;35;17;10563
G2 Perkz;G2;Spain;MIDDLE;21/01/2017;16,00;9;1;7;18438;355;17;17167
G2 Zven;G2;Spain;BOTTOM;21/01/2017;15,00;8;0;7;18128;382;23;21219
G2 mithy;G2;Spain;BOTTOM;21/01/2017;17,00;0;0;17;10614;63;54;4779
G2 Expect;G2;Spain;TOP;21/01/2017;11,00;1;1;10;14316;266;19;11815
G2 Trick;G2;Spain;JUNGLE;21/01/2017;9,00;6;0;3;14342;33;34;10737
G2 Perkz;G2;Spain;MIDDLE;21/01/2017;13,00;5;0;8;15705;295;20;25306
G2 Zven;G2;Spain;BOTTOM;21/01/2017;8,00;4;0;4;16675;371;21;16707
G2 mithy;G2;Spain;BOTTOM;21/01/2017;3,00;0;2;6;9924;22;48;11996
G2 Expect;G2;Spain;TOP;28/01/2017;1,00;2;3;1;15288;348;23;13590
G2 Trick;G2;Spain;JUNGLE;28/01/2017;1,33;3;3;1;13950;51;10;13724
G2 Perkz;G2;Spain;MIDDLE;28/01/2017;5,00;1;1;4;15307;379;20;30913
G2 Zven;G2;Spain;BOTTOM;28/01/2017;1,00;0;3;3;15046;362;18;13381
G2 mithy;G2;Spain;BOTTOM;28/01/2017;0,20;0;5;1;9034;35;69;3131
G2 Expect;G2;Spain;TOP;28/01/2017;11,00;0;0;11;17046;372;22;21865
G2 Trick;G2;Spain;JUNGLE;28/01/2017;11,00;0;1;11;14683;23;13;7930
G2 Perkz;G2;Spain;MIDDLE;28/01/2017;12,00;5;1;7;19648;387;18;27263
G2 Zven;G2;Spain;BOTTOM;28/01/2017;10,00;7;0;3;19909;405;23;28932
G2 mithy;G2;Spain;BOTTOM;28/01/2017;2,75;1;4;10;12068;32;53;9258
G2 Expect;G2;Spain;TOP;28/01/2017;7,00;3;1;4;13900;277;16;12565
G2 Trick;G2;Spain;JUNGLE;28/01/2017;8,00;0;0;8;12317;23;11;6801
G2 Perkz;G2;Spain;MIDDLE;28/01/2017;7,00;3;0;4;15258;334;21;14612
G2 Zven;G2;Spain;BOTTOM;28/01/2017;7,00;3;0;4;16275;333;18;17330
G2 mithy;G2;Spain;BOTTOM;28/01/2017;2,50;0;2;5;9192;35;53;2376
G2 Expect;G2;Spain;TOP;03/02/2017;8,00;3;0;5;14087;292;17;14491
G2 Trick;G2;Spain;JUNGLE;03/02/2017;7,00;2;0;5;14323;58;20;10706
G2 Perkz;G2;Spain;MIDDLE;03/02/2017;6,00;3;0;3;15836;342;8;11231
G2 Zven;G2;Spain;BOTTOM;03/02/2017;7,00;3;0;4;14749;308;16;11194
G2 mithy;G2;Spain;BOTTOM;03/02/2017;9,00;1;0;8;9448;16;49;8792
G2 Expect;G2;Spain;TOP;03/02/2017;6,00;6;2;6;17291;289;23;13573
G2 Trick;G2;Spain;JUNGLE;03/02/2017;6,00;2;2;10;17526;76;32;13466
G2 Perkz;G2;Spain;MIDDLE;03/02/2017;2,00;2;4;6;18479;392;18;18118
G2 Zven;G2;Spain;BOTTOM;03/02/2017;5,00;4;2;6;20182;414;24;15481
G2 mithy;G2;Spain;BOTTOM;03/02/2017;5,50;0;2;11;12509;30;67;18913
H2K Odoamne;H2K;United Kingdom;TOP;09/02/2017;1,00;1;3;2;15369;384;26;20294
H2K Jankos;H2K;United Kingdom;JUNGLE;09/02/2017;5,00;1;1;4;12773;42;17;3703
H2K Febiven;H2K;United Kingdom;MIDDLE;09/02/2017;1,67;2;3;3;16753;434;19;13969
H2K Nuclear;H2K;United Kingdom;BOTTOM;09/02/2017;2,50;2;2;3;15439;373;21;18200
H2K Chei;H2K;United Kingdom;BOTTOM;09/02/2017;2,50;0;2;5;9825;31;72;5357
H2K Odoamne;H2K;United Kingdom;TOP;09/02/2017;6,00;4;1;2;13368;297;15;20358
H2K Jankos;H2K;United Kingdom;JUNGLE;09/02/2017;12,00;2;0;10;11228;37;24;5933
H2K Febiven;H2K;United Kingdom;MIDDLE;09/02/2017;7,00;1;0;6;13448;295;14;9583
H2K Nuclear;H2K;United Kingdom;BOTTOM;09/02/2017;12,00;9;0;3;14740;260;12;15864
H2K Chei;H2K;United Kingdom;BOTTOM;09/02/2017;12,00;0;0;12;9439;23;40;12075
G2 Expect;G2;Spain;TOP;09/02/2017;1,00;1;1;0;9480;243;13;3533
G2 Trick;G2;Spain;JUNGLE;09/02/2017;0,33;0;3;1;9556;73;9;7733
G2 Perkz;G2;Spain;MIDDLE;09/02/2017;0,00;0;2;0;10066;275;14;13774
G2 Zven;G2;Spain;BOTTOM;09/02/2017;0,00;0;4;0;9445;269;13;7480
G2 mithy;G2;Spain;BOTTOM;09/02/2017;0,00;0;6;0;6554;42;37;7479
H2K Odoamne;H2K;United Kingdom;TOP;09/02/2017;0,83;2;6;3;15605;323;21;36066
H2K Jankos;H2K;United Kingdom;JUNGLE;09/02/2017;3,67;1;3;10;14108;47;44;13332
H2K Febiven;H2K;United Kingdom;MIDDLE;09/02/2017;5,00;6;2;4;19238;385;29;21931
H2K Nuclear;H2K;United Kingdom;BOTTOM;09/02/2017;6,50;6;2;7;19331;418;18;29469
H2K Chei;H2K;United Kingdom;BOTTOM;09/02/2017;6,00;1;2;11;11594;51;82;7240
G2 Expect;G2;Spain;TOP;11/02/2017;13,00;3;0;10;11021;187;12;6999
G2 Trick;G2;Spain;JUNGLE;11/02/2017;12,00;10;0;2;12095;17;7;11979
G2 Perkz;G2;Spain;MIDDLE;11/02/2017;9,00;4;0;5;12763;270;11;7826
G2 Zven;G2;Spain;BOTTOM;11/02/2017;13,00;3;0;10;11366;226;12;17610
G2 mithy;G2;Spain;BOTTOM;11/02/2017;14,00;0;0;14;7712;36;31;4482
G2 Expect;G2;Spain;TOP;11/02/2017;11,00;4;1;7;13745;275;18;15744
G2 Trick;G2;Spain;JUNGLE;11/02/2017;6,50;3;2;10;13412;46;27;10131
G2 Perkz;G2;Spain;MIDDLE;11/02/2017;15,00;9;0;6;15358;243;19;29733
G2 Zven;G2;Spain;BOTTOM;11/02/2017;14,00;6;0;8;14751;281;18;18768
G2 mithy;G2;Spain;BOTTOM;11/02/2017;11,00;0;1;11;9470;56;48;3800
G2 Expect;G2;Spain;TOP;16/02/2017;11,00;6;0;5;18231;364;17;24994
G2 Trick;G2;Spain;JUNGLE;16/02/2017;4,50;4;2;5;16242;74;34;15639
G2 Perkz;G2;Spain;MIDDLE;16/02/2017;16,00;9;1;7;18887;363;16;28324
G2 Zven;G2;Spain;BOTTOM;16/02/2017;12,00;0;0;12;15943;337;20;21327
G2 mithy;G2;Spain;BOTTOM;16/02/2017;4,50;1;2;8;11669;71;46;4348
UOL Vizicsacsi;UOL;Germany;TOP;16/02/2017;0,33;1;6;1;13833;348;21;25716
UOL Xerxe;UOL;Germany;JUNGLE;16/02/2017;3,00;3;0;0;13017;54;15;9778
UOL Exileh;UOL;Germany;MIDDLE;16/02/2017;0,60;1;5;2;13927;332;17;14425
UOL Samux;UOL;Germany;BOTTOM;16/02/2017;1,50;0;2;3;13821;361;15;25918
UOL Hylissang;UOL;Germany;BOTTOM;16/02/2017;0,29;0;7;2;8832;33;45;6995
G2 Expect;G2;Spain;TOP;16/02/2017;4,33;4;3;9;16287;308;19;24311
G2 Trick;G2;Spain;JUNGLE;16/02/2017;2,20;5;5;6;16314;93;32;16643
G2 Perkz;G2;Spain;MIDDLE;16/02/2017;1,75;2;4;5;16147;336;14;25038
G2 Zven;G2;Spain;BOTTOM;16/02/2017;4,00;6;3;6;17838;375;21;32881
G2 mithy;G2;Spain;BOTTOM;16/02/2017;3,25;0;4;13;10789;44;63;4363
UOL Vizicsacsi;UOL;Germany;TOP;16/02/2017;2,33;2;3;5;17251;384;20;15284
UOL Xerxe;UOL;Germany;JUNGLE;16/02/2017;14,00;3;1;11;14594;51;9;9831
UOL Exileh;UOL;Germany;MIDDLE;16/02/2017;2,80;7;5;7;16570;315;22;22326
UOL Samux;UOL;Germany;BOTTOM;16/02/2017;2,60;5;5;8;15623;320;12;17622
UOL Hylissang;UOL;Germany;BOTTOM;16/02/2017;3,67;2;3;9;11572;74;47;6427
UOL Vizicsacsi;UOL;Germany;TOP;20/01/2017;9,00;4;0;5;11352;236;13;8816
UOL Xerxe;UOL;Germany;MIDDLE;20/01/2017;11,00;2;0;9;10072;13;10;3221
UOL Exileh;UOL;Germany;MIDDLE;20/01/2017;7,00;4;0;3;11383;247;14;10556
UOL Samux;UOL;Germany;BOTTOM;20/01/2017;10,00;1;0;9;11543;252;9;10856
UOL Hylissang;UOL;Germany;BOTTOM;20/01/2017;3,00;0;2;6;7329;18;33;3422
UOL Vizicsacsi;UOL;Germany;TOP;20/01/2017;3,25;7;4;6;15835;261;15;22213
UOL Xerxe;UOL;Germany;JUNGLE;20/01/2017;1,75;2;4;5;12669;56;10;16462
UOL Exileh;UOL;Germany;MIDDLE;20/01/2017;6,50;4;2;9;13801;268;14;12957
UOL Samux;UOL;Germany;BOTTOM;20/01/2017;1,75;3;4;4;13623;268;10;11141
UOL Hylissang;UOL;Germany;BOTTOM;20/01/2017;1,43;1;7;9;9105;18;32;2989
UOL Vizicsacsi;UOL;Germany;TOP;26/01/2017;7,00;4;2;10;13456;257;17;13822
UOL Xerxe;UOL;Germany;JUNGLE;26/01/2017;14,00;5;0;9;13163;54;11;13335
UOL Exileh;UOL;Germany;MIDDLE;26/01/2017;3,67;5;3;6;15192;322;18;13882
UOL Samux;UOL;Germany;BOTTOM;26/01/2017;13,00;4;1;9;13523;282;13;12756
UOL Hylissang;UOL;Germany;BOTTOM;26/01/2017;13,00;1;1;12;8997;25;41;3896
UOL Vizicsacsi;UOL;Germany;TOP;26/01/2017;18,00;4;1;14;10157;166;12;11664
UOL Xerxe;UOL;Germany;JUNGLE;26/01/2017;8,00;3;2;13;9821;34;9;9753
UOL Exileh;UOL;Germany;MIDDLE;26/01/2017;4,33;7;3;6;11497;192;14;9981
UOL Samux;UOL;Germany;BOTTOM;26/01/2017;12,00;7;0;5;12125;245;9;12587
UOL Hylissang;UOL;Germany;BOTTOM;26/01/2017;5,50;1;2;10;7009;45;28;4528
H2K Odoamne;H2K;United Kingdom;TOP;28/01/2017;1,50;2;4;4;14721;325;15;19769
H2K Jankos;H2K;United Kingdom;JUNGLE;28/01/2017;4,00;2;2;6;13789;52;20;14230
H2K Febiven;H2K;United Kingdom;MIDDLE;28/01/2017;1,50;3;4;3;15290;332;17;15634
H2K Nuclear;H2K;United Kingdom;JUNGLE;28/01/2017;1,60;1;5;7;13838;290;13;11177
H2K Chei;H2K;United Kingdom;JUNGLE;28/01/2017;1,40;1;5;6;10705;40;67;11639
UOL Vizicsacsi;UOL;Germany;TOP;28/01/2017;18,00;6;1;12;19111;399;18;25031
UOL Xerxe;UOL;Germany;JUNGLE;28/01/2017;17,00;0;1;17;13712;21;10;6468
UOL Exileh;UOL;Germany;MIDDLE;28/01/2017;5,67;10;3;7;18365;361;20;25251
UOL Samux;UOL;Germany;BOTTOM;28/01/2017;16,00;4;1;12;15780;333;13;27846
UOL Hylissang;UOL;Germany;BOTTOM;28/01/2017;5,33;0;3;16;10631;60;46;7065
H2K Odoamne;H2K;United Kingdom;TOP;28/01/2017;5,00;3;2;7;13426;291;16;14630
H2K Jankos;H2K;United Kingdom;JUNGLE;28/01/2017;2,33;4;3;3;10854;18;15;10396
H2K Febiven;H2K;United Kingdom;MIDDLE;28/01/2017;6,00;4;0;2;13776;291;20;11831
H2K Nuclear;H2K;United Kingdom;BOTTOM;28/01/2017;8,00;3;1;5;13066;278;16;15904
H2K Chei;H2K;United Kingdom;BOTTOM;28/01/2017;3,50;0;2;7;8466;16;46;7536
UOL Vizicsacsi;UOL;Germany;TOP;28/01/2017;0,80;2;5;2;11822;275;17;13377
UOL Xerxe;UOL;Germany;JUNGLE;28/01/2017;3,00;0;2;6;8704;11;11;6253
UOL Exileh;UOL;Germany;MIDDLE;28/01/2017;3,50;5;2;2;12651;282;13;8044
UOL Samux;UOL;Germany;BOTTOM;28/01/2017;2,00;1;2;3;9627;218;10;6413
UOL Hylissang;UOL;Germany;BOTTOM;28/01/2017;0,75;0;4;3;6421;17;41;3106
UOL Vizicsacsi;UOL;Germany;TOP;28/01/2017;10,00;4;2;16;16751;310;23;23113
UOL Xerxe;UOL;Germany;JUNGLE;28/01/2017;4,50;7;4;11;15959;32;10;18984
UOL Exileh;UOL;Germany;MIDDLE;28/01/2017;4,50;5;4;13;17868;349;21;23359
UOL Samux;UOL;Germany;BOTTOM;28/01/2017;3,75;6;4;9;16787;283;11;21285
UOL Hylissang;UOL;Germany;BOTTOM;28/01/2017;3,40;3;5;14;12788;37;56;19465
H2K Odoamne;H2K;United Kingdom;TOP;28/01/2017;1,43;3;7;7;14665;304;18;20736
H2K Jankos;H2K;United Kingdom;JUNGLE;28/01/2017;4,00;7;4;9;13967;27;47;14313
H2K Febiven;H2K;United Kingdom;MIDDLE;28/01/2017;2,60;5;5;8;16086;325;19;33339
H2K Nuclear;H2K;United Kingdom;BOTTOM;28/01/2017;3,25;3;4;10;14580;260;15;22847
H2K Chei;H2K;United Kingdom;BOTTOM;28/01/2017;3,00;1;5;14;10517;34;79;4542
UOL Vizicsacsi;UOL;Germany;TOP;02/02/2017;1,13;3;8;6;16426;337;22;17176
UOL Xerxe;UOL;Germany;JUNGLE;02/02/2017;1,50;0;4;6;14881;61;11;6102
UOL Exileh;UOL;Germany;MIDDLE;02/02/2017;1,80;6;5;3;18885;376;23;18766
UOL Samux;UOL;Germany;BOTTOM;02/02/2017;1,33;2;3;2;18156;426;18;35594
UOL Hylissang;UOL;Germany;BOTTOM;02/02/2017;0,67;0;6;4;10754;39;68;4118
UOL Vizicsacsi;UOL;Germany;TOP;02/02/2017;13,00;4;1;9;16057;317;19;25934
UOL Xerxe;UOL;Germany;JUNGLE;02/02/2017;18,00;4;1;14;13241;15;10;5672
UOL Exileh;UOL;Germany;MIDDLE;02/02/2017;16,00;8;1;8;17387;343;19;21773
UOL Samux;UOL;Germany;BOTTOM;02/02/2017;4,50;3;2;6;15838;365;11;23185
UOL Hylissang;UOL;Germany;BOTTOM;02/02/2017;4,67;0;3;14;10607;31;47;5665
UOL Vizicsacsi;UOL;Germany;TOP;02/02/2017;13,00;2;1;11;13097;269;15;21043
UOL Xerxe;UOL;Germany;JUNGLE;02/02/2017;12,00;4;1;8;12305;14;14;7164
UOL Exileh;UOL;Germany;MIDDLE;02/02/2017;12,00;7;0;5;15288;292;15;21211
UOL Samux;UOL;Germany;BOTTOM;02/02/2017;9,00;1;1;8;13924;305;13;20131
UOL Hylissang;UOL;Germany;BOTTOM;02/02/2017;3,25;1;4;12;9323;15;34;4045
UOL Vizicsacsi;UOL;Germany;TOP;09/02/2017;3,50;7;4;7;12453;196;14;16256
UOL Xerxe;UOL;Germany;JUNGLE;09/02/2017;19,00;3;0;16;11497;26;10;8588
UOL Exileh;UOL;Germany;MIDDLE;09/02/2017;6,00;9;2;3;13516;214;13;18603
UOL Samux;UOL;Germany;BOTTOM;09/02/2017;6,00;3;0;3;12418;249;8;12789
UOL Hylissang;UOL;Germany;BOTTOM;09/02/2017;11,00;2;1;9;8876;62;23;7873
UOL Vizicsacsi;UOL;Germany;TOP;09/02/2017;5,50;2;2;9;13606;257;15;19376
UOL Xerxe;UOL;Germany;JUNGLE;09/02/2017;13,00;3;0;10;10875;23;10;4362
UOL Exileh;UOL;Germany;MIDDLE;09/02/2017;9,00;14;2;4;15285;275;15;29965
UOL Samux;UOL;Germany;BOTTOM;09/02/2017;3,00;5;4;7;11716;208;8;10634
UOL Hylissang;UOL;Germany;BOTTOM;09/02/2017;7,00;1;2;13;8634;50;36;8284
UOL Vizicsacsi;UOL;Germany;TOP;16/02/2017;0,33;1;6;1;13833;348;21;25716
UOL Xerxe;UOL;Germany;JUNGLE;16/02/2017;3,00;3;0;0;13017;54;15;9778
UOL Exileh;UOL;Germany;MIDDLE;16/02/2017;0,60;1;5;2;13927;332;17;14425
UOL Samux;UOL;Germany;BOTTOM;16/02/2017;1,50;0;2;3;13821;361;15;25918
UOL Hylissang;UOL;Germany;BOTTOM;16/02/2017;0,29;0;7;2;8832;33;45;6995
UOL Vizicsacsi;UOL;Germany;TOP;16/02/2017;2,33;2;3;5;17251;384;20;15284
